English,"(for context, not to be translated)",Word Count: 1101,Divehi,
[] is a collaborative project with source code available on [GitHub],,9,މިއީ، ގިޓްހަބްގެ ކޯޑު މައުލޫމާތާއެކު ކުރިއަށްގެންދާ މަޝްރޫޢެއް,
[number] km,for kilometers,1,(ނަމްބަރު) ކިލޯމީޓަރު,
[number] mi,for miles,1,(ނަމްބަރު) މޭލު,
[user] has commented on the following diary entries,comments that this user added to blogs,7,ޑައިރީގައިވާ ލިޔުމަށް ކޮމެންޓްކޮށްފި,
[user] is now your friend!,,4,އަކީ މިހާރު ބައިވެރިއެއް,
[user]'s diary,blog by this user,2,ގެ ޑައިރީ,
[user]'s notes,comments on map by this user,2,ގެެ ނޯޓުތައް,
<< Previous,fllipping through pages,1,ކުރީ ޞަފްޙާ,
About,link to the page that you translated earlier,1,ފުރަތަމަ ސަފްޙާ,
Add a note to the map,,6,ޗާޓަށް ބޭނުންވާ ނޯޓު ލިޔުއްވާ,
Add field,adds a data field / row to this map feature,2,ޗާާޓަށް މައުލޫމާތު އެއްކުރައްވާ,
Add Friend,,2,އިތުރު ބައިވެރިއެއް އެއްކުރައްވާ,
"Add highways, streets, pedestrian paths, canals, or other lines to the map.",,12,ހައިވޭއާއި، މަގުތަކާއި، ދުވާރާއި އަދި އެހެނިހެން ރޮނގުތައް ހިމަނުއްވާ,
Add Note,button to save the note,2,އިތުުރުކުރެއްވި ނޯޓު ސޭވްކުރައްވާ,
"Add parks, buildings, lakes, or other areas to the map.",,10,ޕާރކުތަކާއި، އިމާރާތްތަކާއި އަދިވެސް ފާހަގަކުރެވޭ ތަންތަން ހިމަނުއްވާ,
"Add restaurants, monuments, postal boxes, or other points to the map.",,11,ރެސްޓޯރަންޓްތަކާއި، ފާހަގަކުރެވޭ ބިނާތަކާއި، ޕޯސްޓް ފޮށިތަކާއި، އެހެނިހެން މުހިއްމު ތަންތަން ހިމަނުއްވާ,
Added a point,,3,މައުލޫމާތެއް އިތުރުކުރައްވައިފި,
Address,,1,އެޑްރެސް,
"Address, Description, etc...",lists examples of data fields,3,އެޑްްރެސްގެ ތަފްސީލު މައުލޫމާތު,
"After you confirm your account, we'll provide you with some additional information to get you started.",,16,އެކައުންޓް ހެއްދެވުމުން، ކުރިއަށް ދިއުމަށް ބޭނުންވާ އިތުރު މައުލޫމާތު އަޅުގަނޑުމެން ދޭނަން,
Agree,agree to website terms,1,އެއްބަސްވަން,
airport terminal,,2,އެއާރޕޯޓް ގިމަތަ,
All Access,all access (public) as opposed to private road,2,ހަުރިހާ އެންމެނަށް ވަދެވޭ,
All fields,"common pieces of information for a map feature (for example, address on a building)",2,ހުރިހާ މަޢުލޫމާތެއް,
All relations,"map ""relations"" are collections of map features",2,ޗާޓަުގައި ހިމެނޭ ހުރިހާ ބައިތަކެއް,
All tags,"specific details added to a map feature (for example, source of information)",2,ޓެގްތައް,
Allowed Access,public / privacy level of road,2,ހުއްދަދެވޭ ތަންތަން,
Also my contributions are in the Public Domain,optional public domain,8,ޢާއްމުކޮށް ބޭނުންކުރަ ޑޮމެއިންވެސް ބޭނުންކުރެވިދާނެ,
"Alternatively, use a third party to login:",use Google / Facebook / other 3rd party login,7,ގޫގްލް، ފޭސްބުކް އަދި މިނޫންވެސް އިތުރު ޕާޓިއެއް ބޭނުންކޮށްގެން ލޮގިންވުމަށް,
Apartments,,1,އެޕާރޓްމަންޓްތައް,
Aquaculture,,1,އެެކުއާކަލްޗަރ,
Area,"polygon / filled in area, such as a building",1,އިމާރާތްތައް,
back,return to the previous page,1,ކުރީ ސަފްޙާ,
Background settings,background as in roadmap / satellite map,2,ސެޓެލައިޓް މެޕް,
Bank,,1,ބޭންކު,
Bar,,1,ބާރ,
Bare Rock,,2,ފަރުބަދަ ފަދަ ތަންތަން,
Barrier Features,"walls, fences, etc",2,ފާރުތައް,
Beach,,1,ގޮނޑުދޮށް,
Bicycles,biking access to road (yes/no?),1,ބައިސިކަލް ދުއްވޭތޯ ނުވަތަ ނޫންތޯ,
Bike Lanes,,2,ބަައިސިކަލް ދުއްވޭ މަގުތައް,
Blocks on Me,"if you make bad changes, a block can be placed on your account, it shows up here",3,ހުއްޓުވުން,
Bridge,,1,ފާލަން,
Building,,1,އިމާރާތް,
Building Features,different types of buildings,2,އެކި ވައްތަރުގެ އިމާރާތް,
Bus Stop,,2,ބަސް ހުއްޓި,
Cafe,,1,ކެފޭ,
canal,,1,ކެނެލް,
capacity,restaurant,1,ރެސްޓޯރަންޓުގެ ޖާގަ,
Car Parking,,2,ކާރު ޕާރކުކުރާ ސަރަޙައްދު,
car repair shop,,3,ކާާރު ހަދައިދޭ ގަރާޖް,
Cemetery,,1,ސަހަރާ,
Changed tags,a change that you made: you changed tags,2,ޓެގެއް ބަދަލުކުރުން,
Changesets by [user],history of edits made by this user,2,ގެނެސްފައިވާ ބަދަލުތައް,
Check your email!,,3,އީމެއިލް ޗެކްކުރައްވާ,
Choose Language,,2,ބަސްް ޚިޔާރުކުރައްވާ,
Cinema,movie theater,1,ސިނަމާ,
Circularize,convert this area into a circle,1,މިސަރަޙައްދު ވަށްބުރަކަށް ބަދަލުކުރައްވާ,
city,,1,ސިިޓީ,
Closed [time] ago,when this edits were finished,2,ބަދަލު ގެނެސް ނިމިފައި,
Coastline,,1,އައްސޭރިފަށް,
Comment,content of comment,1,ކޮމެންޓް,
Comments,list of comments,1,މިހާތަނަށް ކޮށްފައިވާ ކޮމެންޓްތައް,
Commercial Area,,2,ވިޔަފާރި ސަރަޙައްދު,
Commercial Building,,2,ވިިޔަފާރި ޢިމާރާތްތައް,
Common name (if any),name used by residents / on sign / in public,4,ޢާއްމު ނަންތައް,
Confirm Email Address,,3,އީމެއިލް އެޑްރެސް ޔަޤީންކުރައްވާ,
Confirm Password,,2,ޕާސްވޯރޑް ޔަޤީންކުރައްވާ,
Continue,continue drawing a line / area,1,ކުރިއަަށްދޭ,
Continue this line,,3,މިރޮނގު ކުރިއަށްގެންދޭ,
Continued a line,,3,ކުރިިއަށް ގެންދިޔަ ރޮނގު,
Continued an area,,3,ކުރިއަށް ގެންދިޔަ ސަރަޙައްދު,
Contributor terms,agreement to share data on the map,2,ޗާޓުގައި މައުލޫމާތު ޙިއްސާކުރުމުގެ އެއްބަސްވުން,
Copyright,link to copyright information,1,ކޮޕީރައިޓް ލިންކް,
Country of residence,,3,ރަށްވެހިވެފައިވާ ޤައުމު,
Created at,column with dates in it,2,ހަދާފައިވަނީ,
Creator,who made a map note,1,މައުލޫމާތު އެއްކުރި ފަރާތް,
Cricket Field,,2,ކްރިކެޓް ކުޅޭ ސަރަޙައްދު,
Cuisine,type of food at a restaurant,1,ރެސްްޓޯރަންޓްގެ ޚާއްސަ ރަހަތައް,
Current Email Address,,3,މިހާާރު ބޭނުންކުރާ އީމެއިލް އެޑްރެސް,
Cycle Map,map designed for bicycle riders,2,ބައިިސިކަލް ދުއްވާ ފަރާތްތަކުގެ ޗާޓު,
date,email messages,1,ޑޭޓް,
Decline,refuse to accept contributer terms,1,އެއްބަސްނުވަން,
delete,email messages,1,ޑިލީޓްކުރުން,
Delete this feature permanently,,4,އެއްްކޮށް ޑިލީޓްކޮށްލާ,
Delivery,restaurant,1,ޑެލިވަރީކުރުން,
Denomination,"religious practice (christian, islam)",1,ދީން,
Description,content of map note,1,ޗާާޓުގެ ޚުލާޞާ,
Diary,blog,1,ޑައިރީ,
Disconnect,,1,ވަކިކުރުން,
Disconnect these lines/areas from each other,,7,މި ރޮނގުތަކާއި، ސަރަޙައްދުތައް ވަކިކުރައްވާ,
Display Name,username which other people will see,2,ފެންނަން އިންނަ ނަން,
Don't have an account? Register now,,6,އެކައުންޓެއް ނެތް؟ އެކައުންޓް ހެދުމަށް ރަޖިސްޓްރީ ކުރައްވާ,
Download,,1,ޑައުންލޯޑުކުރައްވާ,
Edit,verb - to edit the map here,1,އެޑިޓްކުރައްވާ,
Edit with [tool],choose this tool to edit the map,2,މިޓޫލް ބޭނުންކުރައްވައިގެން އެޑިޓްކުރައްވާ,
Edits,list of changes made to the map by this user,1,ޗާޓަށް ގެނެސްފައިވާ ބަދަލުތައް,
Edits that you make on this map will be visible to everyone who uses OpenStreetMap.,,15,މިޗާޓަށް ގެންނަވާ ބަދަލުތައް އޯޕަން ސްޓްރީޓް މެޕް ބޭނުންކުރާ ހުރިހާ ފަރާތްތަކަށް ފެންނާނެ,
Email Address,,2,އީމެއިލް އެެޑްރެސް,
Email Address or Username,,4,އީމެއިލް އެޑްްރެސް ނޫނީ ޔޫސަރ ނޭމް,
Enable troubleshooting tools,,3,ޓްރަބަލް ޝޫޓިންގ ޓޫލް އެކްޓިވޭޓް ކުރައްވާ,
Enabled,"enabled / active / accepted, you are able to make changes",1,އެކްޓިވޭޓްވެއްޖެ,
Enclosing features,"when you click in an area, this is a list of place names you are inside (for example, city, country)",2,މިސަަރަޙައްދުގައި ހިމެނޭ ތަންތަން,
Export,download data,1,އެކްސްޕޯޓް,
External Authentication,using Google / Facebook / other sign-in,2,އިތުރު ޕާޓީތައް ބޭނުންކޮށްގެން ލޮގިންވުމަށް,
Farmland,,1,ދަނޑުވެރި ސަރަޙައްދުތައް,
Fast Food,,2,ފާސްޓް ފުޑް,
Ferry Route,,2,ފެރީއަށްދާ މަގުތައް,
Find directions between two points,,4,ދެޕޮއިންޓްގެ މެދުގައިވާ މަގުތައް ހޯއްދަވާ,
Foot,walking access to road (yes/no?),1,ހިނގާފައި އުޅޭ މަގުތައް,
Football Field,,2,ފުޓްބޯޅަ ކުޅޭ ދަނޑުތައް,
ford,water covers the road with no bridge (so you drive over the water),1,,
Forest,,1,ޖަންގަލި,
Format,file format / image file format,1,ފޯމެޓް,
Free and editable,,3,އެޑިޓްކުެރެވޭނެ,
from,email messages,1,އީމެއިލް ފޮނުވި ފަރާތް,
Go,search button,1,ހޯދާ,
government office,,2,ސަރުކާރު އޮފީސްތައް,
GPS Traces,uploaded records of GPSes,2,ޖީޕީއެސް މެދުވެރިކޮށް ހޯދާ,
grass,grassy area,1,ވިނަގަނޑު,
Hardware Store,,2,ހާރޑްވެއާރ ފިހާރަ,
Help,,1,އެހީ ހޯއްދަވާ,
Highway,,1,ހައިވޭ,
History,list of recent changes to the map,1,އެންމެ ފަހުން ގެނައި ބަދަލުތައް,
Home location,,2,ގެ ހުރި ތަން,
Horses,access to road (yes/no?),1,އަސް,
Hospital grounds,,2,ހޮސްޕިޓަލް,
Hotel,,1,ހޮޓާ,
Hours,restaurant open hours,1,ރެސްޓޯރަންޓް ހުޅުވިފައި ހުންނަ ވަގުތު,
House,,1,ގެެދޮރު,
Humanitarian,special map style for emergencies,1,ކުއްލި ޙާލަތްތަކުގެ ޚާއްސަ ޗާޓު,
"If you need us to resend the confirmation email, click here.",,11,އީމެެއިލް އަލުން ފޮނުވަން އެދޭނަމަ މިތަނަށް ފިތާލައްވާ,
Image,"user profile image, map image, etc",1,ފޮޓޯ,
Image will show [layer-name] layer with [dimensions],"layer = background style (roadmap, satellite)",5,ފޮޓޯއިން ފެންނަ ޗާޓުގެ ލޭޔަރތައް,
in-browser editor,program works inside the web browser,3,އިންޓަރނެޓުގެ ތެރޭގައި އެޑިޓްކުރުން,
Include Marker,"option: when someone follows your link, they will see the marker on the map",2,ފާހަގައެއް ހިމަނުއްވާ,
Industrial Area,,2,ސިނާޢީ ސަރަޙައްދު,
Industrial Building,,2,ސިނާާޢީ ޢިމާރާތްތައް,
Information to help understand these terms: a human readable summary and some informal translations,,14,މިބަސްތައް އަންގައިދޭ މަޢުލޫމާތު: ކިޔަން ފަސޭހަ ޚުލާސާ އަދި ނުރަސްމީ ތަރުޖަމާ,
Internet Access,yes/no,2,އިންްޓަރނެޓް ލިބޭތޯ ނުވަތަ ނޫންތޯ,
Island,,1,ރަށް,
Lake,,1,ކޯރު,
Land Use Features,,3,ބިން ބޭނުންކުރާގޮތުގެ ފާހަގަތައް,
landfill,,1,ކުނި އުކާލާ ސަރަޙައްދު,
Last changed,time,2,އެންމެ ފަަހުން ބަދަލު ގެނައީ,
latitude,,1,ލެޓިޓިއުޑް,
Layers,"map backgrounds (such as roadmap, satellite)",1,ފަށަލަތައް,
Learn More,,2,އިތުރަށް ހޯއްދަވާ,
Left Side,,2,ވައަތް ފަރާތް,
Levels,how many levels a building has,1,ލެެވެލްތައް,
Library,,1,ލައިބްރަރީ,
Line,,1,ރޮނގު,
Lines can't be split at their beginning or end,,9,ފަށާއިރު ނުވަތަ ނިންމާއިރު ބައި ނުކުރެވޭނެ ރޮނގުތައް,
Link,,1,ލިންކު,
Link or HTML,keep HTML untranslated,2,ލިންކުު ނޫނީ އެޗްޓީއެމްއެލް,
Locality,small named place,1,ރަށްްފުށު,
Log In,,2,ލޮގް އިން,
Log Out,,2,ލޮގްް އައުޓް,
longitude,,1,ލޯންގިޓިޔުޑް,
Lost your password?,,3,ޕާސްވޯޑް ހަނދާން ނެތުނީތޯ؟,
Make this line circular,,4,މިިރޮނގު ވަށްބުރަކަށް ހައްދަވާ,
Make this line go in the opposite direction,"for one-way roads, flips the road",8,މިރޮނގު އަނެއް ކޮޅަށް ދާނެހެން ހައްދަވާ,
Map Data,direct access to map database,2,ޗާޓުގެ މައުލޫމާތު,
Map Key,reference for how several items will appear on the map,2,ޗާާޓުގައި އެކި ތަންތަން ފެންނާނެ ގޮތް,
Map Notes,comments left on the map by users,2,ޗާޓުު ބޭނުންކުރާ ފަރާތްތަކުގެ ކޮމެންޓް,
Mapper since: [date],,2,ޗާޓު ތައްޔާރުކުރަން ފެށީ,
marina,,1,ޔޮޓު މެރީނާ,
mark as unread,,3,ނުކިޔާ ކަމަށް ފާހަގަކުރައްވާ,
Max Height,maximum height of vehicles on this road,2,އެންމެ އުސް އުޅަނދުތައް,
Military Area,,2,އަސްކަރީ ސަރަޙައްދު,
Minor/Unclassified Road,smaller type of road,3,ފާހަަގަނުކުރެވޭ ކުދި މަގުތައް,
Mobile Phone Store,,3,މޯބައިލް ފޯނު ވިއްކާ ފިހާރަ,
mosque,already translated,0,މިސްކިތް,
Motor Vehicles,access to road (yes/no?),2,އުޅަނދުފަހަރަށް ވަދެވޭތޯ ނުވަތަ ނޫންތޯ,
Move,,1,ކުރިއަށް,
Move the marker to the correct position and type a note to explain the problem.,,15,ފާހަގަަ ރަނގަޅު ތަނަށް ގެންގޮސް މައްސަލަ ތަފްސީލުކުރައްވާ,
Move this feature to a different location,,7,މިބަައި އެހެން ތަނަކަށް ބަދަލުކުރައްވާ,
Multilingual name,name for this place in another language,2,އެހެން ބަހަކުން ކިޔާ ނަން,
My Comments,,2,ކޮމެންޓުތައް,
My Diary,blog,2,ޑައިރީ,
My Edits,changes made to the map,2,ޗާޓަށް ގެނައި ބަދަލުތައް,
My inbox,,2,އިންބޮކްސް,
My Messages,user messages,2,މެސެޖްތައް,
My Notes,comments on map,2,ޗާޓަށް ކުރާ ކޮމެންޓުތައް,
My Profile,custom user page,2,ޕްރޮފައިލް,
My Settings,,2,ސެޓިންގްސް,
My Traces,GPS uploads from me,2,ޖީޕީީއެސް މައުލޫމާތުތައް,
Name,,1,ނަން,
Natural features,"water, mountains, etc",2,ގުދުރަތީ ގޮތުން ފާހަގަކުރެވޭ ތަންތަން,
